species_id,species,level,move_id,move,name_zh_hans,reason
1,bulbasaur,7,73,leech-seed,寄生种子,status
1,bulbasaur,31,388,worry-seed,烦恼种子,status
2,ivysaur,1,73,leech-seed,寄生种子,status
2,ivysaur,7,73,leech-seed,寄生种子,status
2,ivysaur,36,388,worry-seed,烦恼种子,status
3,venusaur,1,73,leech-seed,寄生种子,status
3,venusaur,7,73,leech-seed,寄生种子,status
3,venusaur,39,388,worry-seed,烦恼种子,status
4,charmander,16,82,dragon-rage,龙之怒,variable_or_zero_power
5,charmeleon,17,82,dragon-rage,龙之怒,variable_or_zero_power
6,charizard,17,82,dragon-rage,龙之怒,variable_or_zero_power
7,squirtle,22,182,protect,守住,status
7,squirtle,37,240,rain-dance,求雨,status
8,wartortle,24,182,protect,守住,status
8,wartortle,44,240,rain-dance,求雨,status
9,blastoise,24,182,protect,守住,status
9,blastoise,53,240,rain-dance,求雨,status
12,butterfree,22,18,whirlwind,吹飞,status
12,butterfree,30,366,tailwind,顺风,status
12,butterfree,34,476,rage-powder,愤怒粉,status
12,butterfree,36,219,safeguard,神秘守护,status
16,pidgey,17,18,whirlwind,吹飞,status
16,pidgey,41,366,tailwind,顺风,status
16,pidgey,45,119,mirror-move,鹦鹉学舌,status
17,pidgeotto,17,18,whirlwind,吹飞,status
17,pidgeotto,47,366,tailwind,顺风,status
17,pidgeotto,52,119,mirror-move,鹦鹉学舌,status
18,pidgeot,17,18,whirlwind,吹飞,status
18,pidgeot,50,366,tailwind,顺风,status
18,pidgeot,56,119,mirror-move,鹦鹉学舌,status
25,pikachu,13,486,electro-ball,电球,variable_or_zero_power
25,pikachu,53,113,light-screen,光墙,status
41,zubat,29,212,mean-look,黑色目光,status
41,zubat,35,114,haze,黑雾,status
41,zubat,43,501,quick-guard,快速防守,status
42,golbat,32,212,mean-look,黑色目光,status
42,golbat,40,114,haze,黑雾,status
42,golbat,51,501,quick-guard,快速防守,status
74,geodude,4,300,mud-sport,玩泥巴,status
74,geodude,12,222,magnitude,震级,variable_or_zero_power
74,geodude,28,446,stealth-rock,隐形岩,status
75,graveler,1,300,mud-sport,玩泥巴,status
75,graveler,4,300,mud-sport,玩泥巴,status
75,graveler,12,222,magnitude,震级,variable_or_zero_power
75,graveler,30,446,stealth-rock,隐形岩,status
76,golem,1,484,heavy-slam,重磅冲撞,variable_or_zero_power
76,golem,1,300,mud-sport,玩泥巴,status
76,golem,4,300,mud-sport,玩泥巴,status
76,golem,12,222,magnitude,震级,variable_or_zero_power
76,golem,30,446,stealth-rock,隐形岩,status
76,golem,60,484,heavy-slam,重磅冲撞,variable_or_zero_power
92,gastly,5,180,spite,怨恨,status
92,gastly,8,212,mean-look,黑色目光,status
92,gastly,12,174,curse,诅咒,status
92,gastly,15,101,night-shade,黑夜魔影,variable_or_zero_power
92,gastly,40,194,destiny-bond,同命,status
92,gastly,47,171,nightmare,恶梦,status
93,haunter,1,180,spite,怨恨,status
93,haunter,5,180,spite,怨恨,status
93,haunter,8,212,mean-look,黑色目光,status
93,haunter,12,174,curse,诅咒,status
93,haunter,15,101,night-shade,黑夜魔影,variable_or_zero_power
93,haunter,50,194,destiny-bond,同命,status
93,haunter,61,171,nightmare,恶梦,status
94,gengar,1,180,spite,怨恨,status
94,gengar,5,180,spite,怨恨,status
94,gengar,8,212,mean-look,黑色目光,status
94,gengar,12,174,curse,诅咒,status
94,gengar,15,101,night-shade,黑夜魔影,variable_or_zero_power
94,gengar,50,194,destiny-bond,同命,status
94,gengar,61,171,nightmare,恶梦,status
123,scyther,5,116,focus-energy,聚气,status
129,magikarp,1,150,splash,跃起,status
129,magikarp,30,175,flail,抓狂,variable_or_zero_power
130,gyarados,23,82,dragon-rage,龙之怒,variable_or_zero_power
130,gyarados,38,240,rain-dance,求雨,status
133,eevee,1,270,helping-hand,帮助,status
133,eevee,33,226,baton-pass,接棒,status
133,eevee,45,376,trump-card,王牌,variable_or_zero_power
134,vaporeon,1,270,helping-hand,帮助,status
134,vaporeon,25,392,aqua-ring,水流环,status
134,vaporeon,33,114,haze,黑雾,status
135,jolteon,1,270,helping-hand,帮助,status
136,flareon,1,270,helping-hand,帮助,status
143,snorlax,33,214,sleep-talk,梦话,status
143,snorlax,41,335,block,挡路,status
143,snorlax,44,187,belly-drum,腹鼓,status
143,snorlax,50,484,heavy-slam,重磅冲撞,variable_or_zero_power
147,dratini,15,82,dragon-rage,龙之怒,variable_or_zero_power
147,dratini,45,219,safeguard,神秘守护,status
148,dragonair,15,82,dragon-rage,龙之怒,variable_or_zero_power
148,dragonair,53,219,safeguard,神秘守护,status
149,dragonite,15,82,dragon-rage,龙之怒,variable_or_zero_power
149,dragonite,53,219,safeguard,神秘守护,status
151,mew,1,513,reflect-type,镜面属性,status
151,mew,1,144,transform,变身,status
151,mew,20,118,metronome,挥指,status
151,mew,70,382,me-first,抢先一步,status
151,mew,80,226,baton-pass,接棒,status
161,sentret,1,193,foresight,识破,status
161,sentret,16,270,helping-hand,帮助,status
161,sentret,19,266,follow-me,看我嘛,status
161,sentret,39,226,baton-pass,接棒,status
161,sentret,42,382,me-first,抢先一步,status
162,furret,1,193,foresight,识破,status
162,furret,17,270,helping-hand,帮助,status
162,furret,21,266,follow-me,看我嘛,status
162,furret,46,226,baton-pass,接棒,status
162,furret,50,382,me-first,抢先一步,status
169,crobat,32,212,mean-look,黑色目光,status
169,crobat,40,114,haze,黑雾,status
